GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FlashCards,edu.cmu.cs214.hw1.ordering.repetition,NonRepeatingCardOrganizer,0,11,0,2,0,2,0,3,0,2
FlashCards,edu.cmu.cs214.hw1.ordering.repetition,CardRepeater,0,17,0,2,0,1,0,3,0,2
FlashCards,edu.cmu.cs214.hw1.ordering.repetition,RepeatingCardOrganizer,6,35,3,5,0,6,3,5,0,4
FlashCards,edu.cmu.cs214.hw1.cards,FlashCard,0,22,0,0,0,2,0,4,0,4
FlashCards,edu.cmu.cs214.hw1.cards,CardStatus,15,28,0,0,1,10,1,5,1,5
FlashCards,edu.cmu.cs214.hw1.data,InMemoryCardStore,0,52,0,0,0,11,0,7,0,7
FlashCards,edu.cmu.cs214.hw1.data,CardLoader,55,0,4,0,10,0,4,0,2,0
FlashCards,edu.cmu.cs214.hw1.ordering.prioritization,RecentMistakesFirstSorter,0,66,0,8,0,12,0,6,0,2
FlashCards,edu.cmu.cs214.hw1.ordering.prioritization,MostMistakesFirstSorter,0,29,0,2,0,5,0,5,0,4
FlashCards,edu.cmu.cs214.hw1.ordering.prioritization,CardShuffler,12,0,0,0,4,0,2,0,2,0
FlashCards,edu.cmu.cs214.hw1.ordering,CardDeck,9,46,3,3,1,11,4,6,1,6
FlashCards,edu.cmu.cs214.hw1.ordering,MultiOrganizer,0,24,0,2,0,7,0,3,0,2
FlashCards,edu.cmu.cs214.hw1.cli,UI,102,0,8,0,28,0,8,0,4,0
FlashCards,edu.cmu.cs214.hw1,Main,30,0,0,0,6,0,2,0,2,0
FlashCards,edu.cmu.cs214.hw1.gamification,AllCorrectLastRound,0,35,0,6,0,8,0,6,0,3
FlashCards,edu.cmu.cs214.hw1.gamification,AnswerCardMoreThanFiveTimes,0,30,0,4,0,9,0,5,0,3
FlashCards,edu.cmu.cs214.hw1.gamification,IncorrectCardAnswerTwiceConsecutively,0,45,0,8,0,10,0,7,0,3
FlashCards,edu.cmu.cs214.hw1.gamification,AchievementHandler,0,89,0,6,0,21,0,6,0,3
